University,Canton
Ente Ospedaliero Cantonale - EOC,NotFound
Forschungsinstitut für Opthalmologie - IRO,NotFound
Eidg. Material und Prüfungsanstalt - EMPA,NotFound
Institut Universitaire Kurt Bösch - IUKB,NotFound
Université de Genève - GE,GE
Forschungsinstitut für biologischen Landbau - FIBL,AG
Pädag. Hochschule Tessin (Teilschule SUPSI) - ASP,NotFound
"Haute école pédagogique BE, JU, NE - HEPBEJUNE",NotFound
Zürcher Fachhochschule (ohne PH) - ZFH,NotFound
Robert Walser-Stiftung Bern - RWS,NotFound
Friedrich Miescher Institute - FMI,NotFound
"Eidg. Forschungsanstalt für Wald,Schnee,Land - WSL",NotFound
Schweiz. Institut für Kunstwissenschaft - SIK-ISEA,NotFound
Universität Basel - BS,BS
Universität St. Gallen - SG,SG
Kantonsspital St. Gallen - KSPSG,NotFound
Université de Fribourg - FR,FR
Inst. Suisse de Spéléologie et Karstologie - ISSKA,NotFound
SUP della Svizzera italiana - SUPSI,NotFound
Fachhochschule Ostschweiz - FHO,NotFound
Swiss Center for Electronics and Microtech. - CSEM,NotFound
Franklin University Switzerland - FUS,NotFound
Forschungsanstalten Agroscope - AGS,NotFound
Physikal.-Meteorolog. Observatorium Davos - PMOD,NotFound
Pädagogische Hochschule Zürich - PHZFH,NotFound
Haute école pédagogique du canton de Vaud - HEPL,NotFound
Interkant. Hochschule für Heilpädagogik ZH - HfH,NotFound
"NPO (Biblioth., Museen, Verwalt.) - NPO",NotFound
Inst. de Hautes Etudes Internat. et du Dév - IHEID,NotFound
Berner Fachhochschule - BFH,BE
Staatsunabh. Theologische Hochschule Basel - STHB,NotFound
Pädagogische Hochschule Schaffhausen - PHSH,NotFound
Pädagogische Hochschule Zug - PHZG,NotFound
ETH Zürich - ETHZ,ZH
Pädagogische Hochschule Wallis - PHVS,NotFound
Instituto Ricerche Solari Locarno - IRSOL,NotFound
Schweizer Kompetenzzentrum Sozialwissensch. - FORS,NotFound
Inst. universit. romand de Santé au Travail - IST,NotFound
Firmen/Privatwirtschaft - FP,NotFound
HES de Suisse occidentale - HES-SO,NotFound
Swiss Institute of Bioinformatics - SIB,NotFound
Idiap Research Institute - IDIAP,VS
Fachhochschule Nordwestschweiz (ohne PH) - FHNW,NotFound
Biotechnologie Institut Thurgau - BITG,NotFound
AO Research Institute - AORI,NotFound
Centre de rech. sur l'environnement alpin - CREALP,NotFound
Pädagogische Hochschule Bern - PHBern,BE
Universität Luzern - LU,LU
Pädagogische Hochschule Schwyz - PHSZ,NotFound
Fachhochschule Kalaidos - FHKD,NotFound
Facoltà di Teologia di Lugano - FTL,NotFound
Weitere Spitäler - ASPIT,NotFound
Université de Lausanne - LA,VD
Eidg. Hochschulinstitut für Berufsbildung - EHB,NotFound
Pädagogische Hochschule Nordwestschweiz - PHFHNW,NotFound
Pädagogische Hochschule Thurgau - PHTG,TG
Hochschule Luzern - HSLU,LU
Allergie- und Asthmaforschung - SIAF,NotFound
Nicht zuteilbar - NA,NotFound
Universität Zürich - ZH,ZH
Fernfachhochschule Schweiz (Mitglied SUPSI) - FFHS,NotFound
Institut für Kulturforschung Graubünden - IKG,NotFound
Universität Bern - BE,BE
Paul Scherrer Institut - PSI,NotFound
EPF Lausanne - EPFL,NotFound
Pädagogische Hochschule St. Gallen - PHSG,NotFound
Weitere Institute - FINST,NotFound
Schweizer Paraplegiker Forschung - SPF,NotFound
Université de Neuchâtel - NE,NE
Università della Svizzera italiana - USI,TI
Istituto Svizzero di Roma - ISR,NotFound
Eidg. Anstalt für Wasserversorgung - EAWAG,NotFound
Forschungskommission SAGW,NotFound
Schweiz. Hochschule für Logopädie Rorschach - SHLR,NotFound
Pädagogische Hochschule Luzern - PHLU,NotFound
Pädagogische Hochschule Graubünden - PHGR,NotFound
Haute école pédagogique fribourgeoise - HEPFR,NotFound
